num_run,Objective,Optimization type,AEP,LCOE,Layout,Iterations
47,LCOE,Sequential,2859.8832542219875,-115.47535316996478,"[93, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5109, 5149, 6642, 8342, 8498, 8574, 8614, 8634, 8670, 12679, 12699, 12734, 12789, 12849, 12889, 12909, 12995, 17997, 18017, 18046, 18066, 18086, 18141, 18181, 18221, 18241, 18261, 23238, 23278, 23298, 23333, 23353, 23373, 23411, 23431, 23461, 26952, 27773, 27831, 27867, 27907, 27935, 31295, 31315, 31335, 31370, 31390, 31410, 31889, 33947, 33967, 33987, 34027, 34040, 35574, 35765, 36154]",200
47,LCOE,Joint,2869.976627431465,-115.06923981527736,"[83, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 5038, 5049, 5089, 5129, 5149, 6466, 8498, 8518, 8574, 8634, 8670, 12679, 12699, 12734, 12774, 12789, 12849, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23333, 23353, 23431, 23461, 27773, 27793, 27867, 27887, 27907, 27927, 27935, 31295, 31335, 31390, 33947, 33967, 34007, 34027, 34040, 35574, 35594, 35718, 36154]",180
46,AEP,Sequential,2858.4533477967198,-115.5331183070397,"[96, 167, 937, 977, 2639, 2659, 2675, 2695, 2732, 5049, 5069, 5109, 5129, 5149, 5164, 6814, 8498, 8554, 8670, 10398, 12679, 12699, 12719, 12734, 12754, 12774, 12829, 12869, 12889, 17997, 18106, 18126, 18161, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23353, 23393, 23461, 27773, 27831, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31390, 31591, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",195
46,AEP,Joint,2873.119800061754,-114.94335488518574,"[5, 937, 957, 977, 2639, 2675, 2695, 2732, 5049, 5069, 5089, 5109, 5149, 5164, 8498, 8518, 8534, 8574, 8614, 8650, 8670, 12679, 12699, 12719, 12754, 12809, 12829, 12849, 12869, 12889, 12909, 15966, 17997, 18017, 18046, 18086, 18126, 18161, 18201, 18221, 18261, 23238, 23258, 23298, 23373, 23411, 23431, 23461, 27773, 27793, 27811, 27851, 27927, 31130, 31295, 31335, 31370, 31390, 33967, 33987, 34007, 34027, 34040, 34049, 35574, 35594, 36154]",202
46,LCOE,Sequential,2865.1467252891694,-115.26321702523681,"[2, 166, 626, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5069, 5109, 5149, 5164, 6908, 8498, 8534, 8614, 8634, 8670, 12679, 12734, 12754, 12774, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18086, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23373, 23431, 23461, 27773, 27793, 27811, 27851, 27887, 27907, 27927, 27935, 31295, 31335, 31350, 31390, 33947, 33987, 34007, 34027, 34040, 35574, 35594, 35667, 36154]",202
46,LCOE,Joint,2860.9056740919104,-115.43408501609429,"[9, 937, 957, 2639, 2659, 2675, 2695, 2715, 2732, 5089, 5109, 5129, 5164, 8498, 8518, 8534, 8574, 8594, 8634, 8670, 12679, 12699, 12754, 12774, 12809, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18106, 18161, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23333, 23393, 23431, 23461, 27773, 27793, 27811, 27831, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31390, 31410, 33947, 33967, 34007, 34027, 35574, 35594, 36154]",104
45,AEP,Sequential,2862.9885739902084,-115.35010366663153,"[113, 937, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5109, 5164, 6118, 7921, 8518, 8534, 8554, 8574, 8594, 8614, 8650, 8670, 11966, 12679, 12699, 12734, 12789, 12829, 12849, 12909, 17997, 18017, 18086, 18161, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23333, 23353, 23393, 23461, 27773, 27793, 27831, 27867, 27887, 27927, 27935, 31284, 31295, 31315, 31335, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 35718, 36154]",202
45,AEP,Joint,2863.1812578433014,-115.34234093684687,"[41, 937, 957, 2639, 2659, 2675, 2715, 2732, 5049, 5069, 5109, 5129, 5149, 5164, 8498, 8518, 8534, 8554, 8594, 8614, 8634, 8650, 9449, 12679, 12699, 12719, 12754, 12789, 12829, 12849, 12889, 12909, 17997, 18017, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23461, 27793, 27811, 27851, 27867, 27887, 27907, 27927, 27935, 28351, 31335, 31390, 32471, 33947, 33967, 34007, 34027, 34040, 35574, 35594, 36154]",202
45,LCOE,Sequential,2867.1268551559288,-115.18361254657206,"[22, 937, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5109, 5149, 5164, 8498, 8518, 8554, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12734, 12774, 12849, 12889, 12909, 17622, 17997, 18017, 18046, 18066, 18106, 18126, 18141, 18201, 18221, 18241, 18261, 23238, 23258, 23318, 23431, 23461, 27773, 27793, 27851, 27867, 27907, 27935, 30630, 31295, 31315, 31335, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",202
45,LCOE,Joint,2871.677256760297,-115.00109492761088,"[25, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 5069, 5089, 5109, 5149, 5164, 8498, 8534, 8574, 8614, 8634, 8670, 12679, 12699, 12734, 12754, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18086, 18126, 18141, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23333, 23411, 23431, 23461, 27773, 27811, 27851, 27927, 27935, 31295, 31315, 31370, 31390, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",202
