Latitude,Longitude,Easting,Northing
52.85937,3.53548,536052.6,5856761.2
52.77257,3.45154,544440.0,5852084.0
52.76884,3.47306,541321.4,5847922.1
52.74729,3.57210,538617.2,5844313.2
52.77954,3.61261,531916.7,5846661.3
52.81670,3.65941,530462.0,5847067.2
52.77533,3.43702,529480.8,5847367.6
52.86443,3.52316,524148.0,5849128.2
52.91138,3.42861,522498.2,5849609.3
52.88877,3.41601,527989.9,5859978.7
52.79582,3.33367,528822.7,5862497.9
52.79142,3.35810,535219.3,5857317.9
