num_run,Objective,Optimization type,Power density,AEP,Layout,Iterations
81,AEP,Joint,20,698.3462884990848,"[0, 10, 20, 30, 60, 1490, 1594, 2200, 2880, 4290, 4330, 4970, 4990, 5020, 5030, 5040]",73
80,AEP,Sequential,20,702.2087902478506,"[0, 10, 40, 50, 70, 1440, 2130, 2140, 2200, 2840, 2880, 2890, 4970, 4990, 5030, 5040]",111
80,AEP,Joint,20,702.0721320924714,"[0, 30, 70, 780, 1420, 1430, 1450, 2200, 2840, 2850, 2880, 4270, 4970, 4980, 5020, 5040]",53
79,AEP,Sequential,20,696.342274557281,"[0, 30, 40, 70, 1450, 1490, 2150, 2840, 2900, 4310, 4320, 4970, 4990, 5000, 5010, 5040]",99
79,AEP,Joint,20,707.5310345562032,"[0, 170, 496, 710, 893, 1420, 1470, 2840, 2900, 2934, 4260, 4970, 4990, 5010, 5030, 5040]",136
78,AEP,Sequential,20,693.3207279460249,"[20, 70, 710, 730, 780, 1480, 1490, 2840, 3224, 3550, 3560, 3600, 3620, 4330, 4970, 5010]",100
78,AEP,Joint,20,708.1921613870423,"[40, 50, 70, 720, 1420, 1490, 2160, 2190, 2850, 2890, 3620, 4980, 4990, 5000, 5020, 5040]",85
77,AEP,Sequential,20,703.3165228170994,"[50, 60, 70, 710, 740, 760, 2130, 2860, 3600, 4970, 4980, 4990, 5000, 5010, 5030, 5040]",61
77,AEP,Joint,20,715.2973496177266,"[0, 20, 40, 50, 70, 710, 1420, 2130, 2172, 3194, 3268, 3600, 4260, 4970, 5010, 5040]",202
76,AEP,Sequential,20,700.9592736375514,"[0, 10, 20, 40, 70, 710, 1450, 1480, 2130, 2910, 2958, 3550, 4990, 5020, 5030, 5040]",94
76,AEP,Joint,20,706.2707965515157,"[30, 50, 70, 710, 770, 1430, 1490, 2150, 2910, 3558, 3570, 3661, 4970, 4990, 5010, 5040]",73
75,AEP,Sequential,20,696.5165260497955,"[0, 30, 70, 479, 720, 740, 1480, 2130, 2540, 3610, 4310, 4970, 4980, 5000, 5010, 5030]",82
75,AEP,Joint,20,704.3867749865296,"[0, 10, 20, 70, 770, 1286, 1450, 2130, 2860, 2910, 3763, 4300, 4330, 4970, 4990, 5030]",135
74,AEP,Sequential,20,706.7794760912482,"[0, 20, 40, 60, 1490, 1897, 2160, 2564, 3550, 3620, 4297, 4320, 4330, 4970, 4990, 5040]",99
74,AEP,Joint,20,700.3550632515788,"[0, 60, 70, 1420, 1460, 1490, 2130, 2196, 2850, 3550, 4310, 4970, 4980, 4990, 5010, 5030]",127
73,AEP,Sequential,20,703.7393069169857,"[0, 30, 50, 70, 888, 1420, 1440, 1490, 2180, 2910, 3550, 3612, 4320, 4505, 4970, 5030]",202
73,AEP,Joint,20,698.3274530872333,"[10, 40, 50, 70, 730, 1776, 2170, 2200, 3507, 3600, 4260, 4320, 4970, 4990, 5000, 5030]",65
72,AEP,Sequential,20,700.512094326757,"[10, 60, 740, 1420, 2130, 2180, 2200, 2910, 3550, 3590, 3620, 4970, 4980, 4990, 5030, 5040]",55
72,AEP,Joint,20,699.2994340287354,"[10, 50, 70, 95, 710, 1420, 2130, 2190, 2880, 3560, 4260, 4330, 4970, 4990, 5000, 5010]",53
71,AEP,Sequential,20,699.0460945998142,"[0, 10, 70, 103, 760, 780, 1460, 2130, 2190, 3550, 3570, 3620, 4300, 4970, 5020, 5030]",128
71,AEP,Joint,20,695.5605092202684,"[10, 50, 70, 710, 760, 780, 1440, 2448, 2850, 2860, 2910, 3600, 4260, 4330, 5010, 5040]",90
70,AEP,Sequential,20,706.0312917817174,"[0, 10, 30, 50, 60, 780, 1420, 1480, 2626, 2870, 3620, 4300, 4970, 4980, 5000, 5040]",109
70,AEP,Joint,20,697.333197595548,"[30, 70, 578, 760, 1440, 1490, 2200, 2301, 2860, 2910, 3550, 3560, 4330, 4980, 5000, 5030]",68
69,AEP,Sequential,20,704.5438575377,"[0, 30, 50, 60, 88, 1450, 2140, 2880, 3550, 3620, 3654, 4280, 4970, 4990, 5020, 5040]",95
69,AEP,Joint,20,700.4939000327199,"[10, 30, 50, 60, 70, 720, 1490, 2840, 2880, 3539, 3550, 4320, 4976, 5000, 5030, 5040]",94
68,AEP,Sequential,20,703.2214862430142,"[0, 10, 50, 70, 710, 1420, 1836, 2130, 2910, 3600, 4260, 4272, 4330, 4970, 5000, 5030]",111
68,AEP,Joint,20,699.6014123680754,"[0, 40, 60, 70, 730, 1490, 2130, 2567, 2890, 2910, 3560, 3590, 3620, 4290, 4970, 5020]",106
67,AEP,Sequential,20,695.7209016461487,"[40, 50, 70, 374, 710, 720, 2130, 2190, 2200, 3443, 3620, 4280, 4328, 4980, 5020, 5040]",138
67,AEP,Joint,20,698.3151178299474,"[0, 10, 20, 30, 50, 70, 780, 2160, 2860, 2877, 3560, 3812, 4270, 4330, 4980, 5000]",122
66,AEP,Sequential,20,705.1599191930586,"[0, 20, 30, 40, 50, 60, 710, 780, 1450, 2130, 2758, 3092, 3550, 4970, 4990, 5040]",101
66,AEP,Joint,20,697.4651350321876,"[10, 40, 710, 780, 1480, 1511, 2140, 2170, 2890, 2910, 3550, 3610, 4260, 4330, 4652, 4970]",60
65,AEP,Sequential,20,703.5643351425027,"[0, 70, 710, 760, 780, 1420, 1470, 1987, 2870, 2890, 3054, 4168, 4260, 4443, 4970, 5040]",138
65,AEP,Joint,20,703.5430690442807,"[20, 50, 60, 70, 1420, 1490, 2201, 2542, 3550, 3620, 4260, 4290, 4330, 4990, 5020, 5040]",57
64,AEP,Sequential,20,704.9244962382178,"[0, 30, 70, 710, 720, 780, 2180, 2562, 2860, 2880, 2910, 4260, 4970, 4990, 5020, 5040]",88
64,AEP,Joint,20,709.1222989686208,"[0, 30, 50, 70, 770, 1440, 1490, 2180, 2860, 2880, 3620, 4970, 4990, 5010, 5020, 5040]",67
63,AEP,Sequential,20,699.4538238884361,"[10, 20, 50, 70, 720, 908, 1490, 2140, 2554, 2880, 4260, 4310, 4970, 5000, 5020, 5040]",91
63,AEP,Joint,20,704.2658027631892,"[20, 30, 50, 70, 710, 780, 1420, 1470, 2200, 2870, 3590, 4330, 4970, 4990, 5010, 5040]",163
62,AEP,Sequential,20,704.0869505740415,"[10, 30, 50, 70, 710, 760, 1420, 1490, 2611, 3570, 4300, 4330, 4970, 4980, 5000, 5040]",67
62,AEP,Joint,20,704.7796686974297,"[30, 40, 50, 70, 287, 730, 1430, 1480, 2130, 3550, 4310, 4970, 4990, 5000, 5020, 5040]",70
61,AEP,Sequential,20,701.8144962225758,"[10, 30, 40, 70, 720, 780, 2150, 2200, 2494, 2880, 3489, 3613, 4330, 4970, 5000, 5030]",162
61,AEP,Joint,20,706.338769130498,"[30, 50, 60, 70, 710, 1470, 1923, 2160, 2200, 4970, 4980, 4990, 5000, 5010, 5020, 5030]",80
60,AEP,Sequential,20,705.8675470755378,"[0, 20, 50, 60, 70, 710, 1420, 2130, 2190, 2247, 3560, 4270, 4330, 4970, 4990, 5020]",202
60,AEP,Joint,20,701.2376146751111,"[0, 10, 40, 780, 1420, 1554, 2130, 2170, 2840, 3215, 3610, 3620, 4260, 4300, 4990, 5030]",108
59,AEP,Sequential,20,698.5761716279696,"[0, 10, 60, 70, 710, 750, 1480, 2130, 2840, 3590, 4042, 4166, 4270, 4426, 4970, 5040]",193
59,AEP,Joint,20,710.5831040408061,"[0, 10, 30, 50, 70, 1440, 1490, 2857, 3550, 3600, 3620, 4970, 4980, 4990, 5020, 5030]",144
58,AEP,Sequential,20,701.1726236932323,"[0, 50, 70, 710, 1420, 1490, 2174, 2623, 2809, 2840, 3600, 4320, 4970, 4980, 5000, 5010]",97
58,AEP,Joint,20,701.8686490683452,"[0, 20, 40, 70, 710, 1450, 2099, 2840, 2890, 3570, 4260, 4970, 4990, 5000, 5010, 5040]",87
57,AEP,Sequential,20,701.3006573429726,"[20, 50, 710, 720, 780, 1420, 1480, 2170, 2992, 3590, 4330, 4970, 4980, 4990, 5010, 5030]",202
57,AEP,Joint,20,710.7877509261032,"[0, 20, 40, 60, 70, 710, 1450, 2130, 2200, 2310, 2840, 3550, 4260, 4364, 4970, 5030]",202
56,AEP,Sequential,20,700.3808938912406,"[10, 20, 40, 60, 710, 1490, 2150, 2170, 2180, 2764, 3550, 4300, 4330, 4970, 4990, 5030]",76
56,AEP,Joint,20,696.644326111561,"[0, 20, 40, 70, 710, 720, 993, 1460, 2150, 2200, 3590, 3620, 4270, 4330, 4990, 5010]",59
55,AEP,Sequential,20,694.4098044999787,"[10, 70, 740, 760, 770, 1420, 1430, 2150, 2910, 3570, 4097, 4330, 4970, 4980, 4990, 5010]",99
55,AEP,Joint,20,696.6898747995846,"[0, 10, 40, 70, 720, 780, 1450, 1490, 2140, 2190, 2880, 4280, 4300, 4330, 4980, 5010]",64
54,AEP,Sequential,20,704.7181317290499,"[10, 70, 750, 760, 1420, 1490, 1506, 2839, 2840, 3620, 3664, 4875, 4970, 4980, 4990, 5040]",202
54,AEP,Joint,20,699.1642569738055,"[0, 10, 40, 70, 740, 1430, 1470, 2130, 2860, 3550, 3590, 3610, 4260, 4980, 5010, 5030]",79
53,AEP,Sequential,20,696.0248816546641,"[0, 20, 60, 70, 574, 1194, 1282, 2163, 2190, 3560, 3600, 4260, 4980, 5010, 5020, 5040]",86
53,AEP,Joint,20,709.9404229658268,"[0, 10, 20, 40, 50, 70, 1293, 2190, 2294, 3550, 3590, 3620, 4260, 4970, 5000, 5040]",183
52,AEP,Sequential,20,702.6536442638263,"[0, 10, 20, 70, 694, 710, 2140, 2200, 2840, 2900, 3550, 4300, 4320, 4970, 5000, 5040]",118
52,AEP,Joint,20,708.7253115026748,"[0, 10, 40, 60, 70, 1420, 1480, 2190, 2840, 2870, 3610, 4300, 4970, 5000, 5030, 5040]",104
51,AEP,Sequential,20,699.7866012578259,"[0, 40, 70, 720, 1460, 2130, 2170, 2200, 2840, 2880, 3580, 4778, 4970, 5020, 5030, 5040]",74
51,AEP,Joint,20,700.995236540105,"[0, 18, 30, 60, 720, 780, 2130, 2160, 2190, 3560, 3580, 4330, 4843, 5000, 5020, 5040]",59
50,AEP,Sequential,20,697.6219381798344,"[10, 30, 70, 720, 760, 780, 1490, 2150, 2200, 3600, 4290, 4970, 4980, 4990, 5020, 5030]",61
50,AEP,Joint,20,703.7472385192599,"[10, 70, 720, 740, 780, 1470, 1490, 2130, 2200, 3560, 3600, 4300, 4970, 4980, 4990, 5030]",96
49,AEP,Sequential,20,699.6781279600573,"[10, 283, 740, 1490, 1993, 2151, 2200, 2880, 4260, 4280, 4330, 4970, 4990, 5010, 5030, 5040]",89
49,AEP,Joint,20,702.173261083334,"[10, 50, 750, 760, 780, 804, 1420, 2150, 3610, 3620, 4970, 4980, 4990, 5000, 5020, 5040]",158
48,AEP,Sequential,20,699.8629880907715,"[0, 26, 770, 1420, 1470, 1480, 1490, 2130, 2840, 2890, 3590, 4970, 4980, 4998, 5020, 5040]",168
48,AEP,Joint,20,699.5314220102204,"[0, 10, 70, 260, 750, 1420, 1460, 2150, 3550, 3580, 3600, 4280, 4970, 4980, 5010, 5040]",57
47,AEP,Sequential,20,700.6642117327809,"[0, 50, 70, 760, 1470, 2140, 2200, 2870, 3478, 3552, 4260, 4980, 5010, 5020, 5030, 5040]",66
47,AEP,Joint,20,703.7297393451113,"[0, 70, 710, 780, 1420, 1450, 1470, 1490, 2840, 2870, 3570, 4270, 4300, 4330, 4970, 4990]",137
46,AEP,Sequential,20,706.991926556906,"[0, 30, 40, 60, 70, 1490, 2150, 2840, 2900, 3590, 3620, 4260, 4310, 4970, 4990, 5030]",66
46,AEP,Joint,20,696.0127309023917,"[0, 30, 49, 70, 780, 1430, 1490, 2850, 2870, 2890, 3550, 4260, 4300, 4320, 5000, 5030]",55
45,AEP,Sequential,20,699.2798869604663,"[0, 20, 40, 60, 1430, 1490, 1899, 2140, 3550, 4280, 4290, 4330, 4970, 4990, 5030, 5040]",72
45,AEP,Joint,20,696.3152192622675,"[30, 60, 720, 750, 780, 1450, 2130, 2180, 2910, 3136, 3580, 4330, 4970, 4980, 5030, 5040]",81
44,AEP,Sequential,20,706.7933546576933,"[0, 10, 30, 40, 50, 60, 70, 710, 2130, 2910, 3391, 4223, 4330, 4800, 4970, 4980]",116
44,AEP,Joint,20,704.0392687869312,"[10, 50, 70, 710, 1420, 1470, 2840, 2860, 2910, 3550, 3590, 4290, 4970, 4990, 5020, 5036]",77
43,AEP,Sequential,20,697.1849911769342,"[0, 10, 70, 710, 730, 780, 1460, 2056, 3590, 3620, 4260, 4270, 4359, 4460, 4970, 5040]",91
43,AEP,Joint,20,710.1884590695691,"[0, 20, 50, 70, 1440, 1698, 2180, 2850, 2870, 3620, 4310, 4970, 4990, 5000, 5020, 5040]",53
