yaw,dx,dy,
0.0,-1.0,-1.0,
-11.25,6.765151312637912,-0.6805023428551068,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
16.875,4.450350850636163,0.6053451654643331,
0.0,-1.0,-1.0,
-16.875,5.9264687722702565,-0.5245817267829228,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,6.012519996368406,-1.0226794761092173,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
16.875,5.054327033290658,0.4596384851634275,
-22.5,7.9209832112404195,-0.24391803817547864,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,5.161795841337108,0.855462087571645,
11.25,5.084327958675071,0.7328676330312792,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-22.5,5.959499365684234,-0.19852091605202615,
22.5,6.319079169542303,0.35598434077428465,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-28.125,4.00006450367882,-0.07875686859414849,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
22.5,4.278637332438396,0.35352127718689175,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
16.875,7.6353220443680545,0.3387484046759607,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-11.25,9.04651531555963,-0.7766519595101742,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-11.25,5.378950318372102,-0.8155142561902892,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-16.875,4.3735791807042315,-0.4994058470266249,
0.0,-1.0,-1.0,
-22.5,5.490446256425091,-0.4191648450000266,
-28.125,4.173025369280709,-0.06360698192071379,
0.0,-1.0,-1.0,
-11.25,4.943606563826236,-0.7767707743114732,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-28.125,4.446729636017238,-0.07473237789531366,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,5.492664223042456,0.823813775887603,
22.5,6.4608505507772565,-0.006848942805079772,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
16.875,8.38979057850872,0.3431332863799641,
0.0,-1.0,-1.0,
-22.5,7.014902005911749,-0.055489143480269724,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,8.019797090086149,-1.1064053258201905,
0.0,-1.0,-1.0,
-22.5,5.619244419395251,-0.2898198133827137,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-11.25,4.936164034464752,-0.8116526572798416,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
22.5,4.122159140488304,0.3840701818103559,
0.0,7.343965131009321,0.9336423922622985,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-22.5,9.706913997943456,-0.07521763329087014,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,7.378392622207741,-1.0929410851125472,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,5.742125908306299,0.6683832815868158,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,8.391388136465055,-1.272571411078579,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-11.25,6.791079529292497,-0.7287652491667556,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
16.875,4.9768593509500665,0.5330435514200427,
0.0,-1.0,-1.0,
16.875,4.307253240069787,0.6253496905990511,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,5.055802728019497,-0.8488376103263431,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
16.875,4.719529390231959,0.618440073372909,
11.25,7.149453179894011,0.7557268219909895,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-16.875,7.718988884438968,-0.37738571865132603,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-16.875,4.4797882434187555,-0.6672547409522416,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-11.25,11.432651244684815,-0.7560165203777923,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
-22.5,4.306386800519794,-0.39110836828614876,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,8.108872282369152,-0.7362711015409897,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,12.192989646116741,0.8248237206433665,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
0.0,-1.0,-1.0,
