num_run,Yaw optimization type,Joint/Sequential,AEP,LCOE,Layout
18,geometric_yaw_Jong,Sequential,2869.612549129118,-115.12388832304266,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
18,yaw_optimizer_floris,Sequential,2870.155837145646,-115.00163027419762,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
18,None,Joint,2626.9401044952206,-125.71509652657672,"[88, 937, 957, 977, 2639, 2659, 2695, 2715, 5049, 5069, 5089, 5149, 5164, 5644, 8498, 8534, 8574, 8594, 8614, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12829, 12869, 12889, 12909, 18017, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 19694, 23238, 23278, 23298, 23333, 23461, 27773, 27811, 27831, 27867, 27907, 27927, 27935, 31295, 31315, 31335, 31587, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
18,geometric_yaw_Stanley,Joint,2816.6272385577336,-117.24875208380645,"[88, 937, 957, 977, 2639, 2659, 2695, 2715, 5049, 5069, 5089, 5149, 5164, 5644, 8498, 8534, 8574, 8594, 8614, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12829, 12869, 12889, 12909, 18017, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 19694, 23238, 23278, 23298, 23333, 23461, 27773, 27811, 27831, 27867, 27907, 27927, 27935, 31295, 31315, 31335, 31587, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
18,geometric_yaw_Jong,Joint,2865.8707506761825,-114.99301573116068,"[88, 937, 957, 977, 2639, 2659, 2695, 2715, 5049, 5069, 5089, 5149, 5164, 5644, 8498, 8534, 8574, 8594, 8614, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12829, 12869, 12889, 12909, 18017, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 19694, 23238, 23278, 23298, 23333, 23461, 27773, 27811, 27831, 27867, 27907, 27927, 27935, 31295, 31315, 31335, 31587, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
18,yaw_optimizer_floris,Joint,2866.513331896885,-114.99059112750528,"[88, 937, 957, 977, 2639, 2659, 2695, 2715, 5049, 5069, 5089, 5149, 5164, 5644, 8498, 8534, 8574, 8594, 8614, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12829, 12869, 12889, 12909, 18017, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 19694, 23238, 23278, 23298, 23333, 23461, 27773, 27811, 27831, 27867, 27907, 27927, 27935, 31295, 31315, 31335, 31587, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
17,None,Sequential,2617.2173591533365,-126.18211767974284,"[937, 957, 977, 2639, 2675, 2695, 2715, 2732, 3402, 5049, 5109, 5164, 8400, 8498, 8518, 8534, 8554, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12869, 12889, 12909, 17997, 18017, 18066, 18126, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23318, 23353, 23373, 23393, 23411, 23461, 27773, 27811, 27907, 27935, 30121, 31295, 31315, 31335, 31350, 31370, 31390, 31410, 33361, 33947, 33967, 34027, 35594, 35810, 36154]"
17,geometric_yaw_Stanley,Sequential,2803.499712709881,-117.79777515544461,"[937, 957, 977, 2639, 2675, 2695, 2715, 2732, 3402, 5049, 5109, 5164, 8400, 8498, 8518, 8534, 8554, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12869, 12889, 12909, 17997, 18017, 18066, 18126, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23318, 23353, 23373, 23393, 23411, 23461, 27773, 27811, 27907, 27935, 30121, 31295, 31315, 31335, 31350, 31370, 31390, 31410, 33361, 33947, 33967, 34027, 35594, 35810, 36154]"
17,geometric_yaw_Jong,Sequential,2852.375149127179,-115.29978562910264,"[937, 957, 977, 2639, 2675, 2695, 2715, 2732, 3402, 5049, 5109, 5164, 8400, 8498, 8518, 8534, 8554, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12869, 12889, 12909, 17997, 18017, 18066, 18126, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23318, 23353, 23373, 23393, 23411, 23461, 27773, 27811, 27907, 27935, 30121, 31295, 31315, 31335, 31350, 31370, 31390, 31410, 33361, 33947, 33967, 34027, 35594, 35810, 36154]"
17,yaw_optimizer_floris,Sequential,2854.5002788883207,-115.26613038729526,"[937, 957, 977, 2639, 2675, 2695, 2715, 2732, 3402, 5049, 5109, 5164, 8400, 8498, 8518, 8534, 8554, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12869, 12889, 12909, 17997, 18017, 18066, 18126, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23318, 23353, 23373, 23393, 23411, 23461, 27773, 27811, 27907, 27935, 30121, 31295, 31315, 31335, 31350, 31370, 31390, 31410, 33361, 33947, 33967, 34027, 35594, 35810, 36154]"
