num_run,Objective,Optimization type,Distance to Bruine Bank,AEP,LCOE,Layout,Iterations
49,LCOE,Sequential,5000,2479.470127092356,-134.12462682798088,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11209, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15507, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19577, 19593, 19613, 19633, 19653, 19661, 23004, 23021, 23041, 23061, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",169
49,LCOE,Joint,5000,2472.7551238812916,-134.48885508945912,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6992, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11229, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15507, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19577, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23096, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",52
48,LCOE,Sequential,5000,2502.15061070042,-132.90886811737383,"[8, 511, 531, 548, 1696, 1716, 1736, 1751, 1770, 3928, 3948, 3968, 3988, 4024, 4044, 6937, 6957, 6977, 6992, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11229, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15467, 15487, 15507, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19613, 19653, 19661, 20360, 23021, 23061, 23096, 23116, 23136, 23164, 24726, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",184
48,LCOE,Joint,5000,2473.819481271766,-134.430991446645,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11229, 11244, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15467, 15507, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23096, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",78
47,LCOE,Sequential,5000,2482.1333923144916,-133.98071455671902,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11209, 11244, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15467, 15487, 15507, 15525, 15545, 15575, 19499, 19519, 19557, 19577, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23096, 23116, 23136, 23319, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",96
47,LCOE,Joint,5000,2474.6657348326316,-134.38502050859012,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11244, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15467, 15507, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19593, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23096, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",109
46,LCOE,Sequential,5000,2482.728321451413,-133.94860913858423,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11229, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15467, 15487, 15525, 15545, 15575, 19499, 19519, 19537, 19577, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23096, 23116, 23136, 23469, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",202
46,LCOE,Joint,5000,2486.260085009044,-133.7583334634031,"[511, 531, 548, 1696, 1716, 1736, 1751, 1769, 3928, 3948, 3968, 4008, 4024, 4044, 6937, 6957, 6977, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15467, 15507, 15525, 15545, 15575, 19499, 19519, 19537, 19577, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23116, 23136, 23313, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",189
45,LCOE,Sequential,5000,2483.8980189187214,-133.8855311266588,"[19, 511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6992, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11189, 11209, 11229, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15467, 15507, 15545, 15575, 19499, 19519, 19537, 19557, 19577, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23096, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",101
45,LCOE,Joint,5000,2478.604974007099,-134.1714428135559,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11229, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15507, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19577, 19613, 19633, 19653, 19661, 23005, 23021, 23041, 23061, 23076, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",85
44,LCOE,Sequential,5000,2500.2515744005937,-133.00981746491462,"[7, 511, 531, 548, 1696, 1716, 1736, 1751, 1770, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11244, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15467, 15487, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19593, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23096, 23116, 23136, 23617, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",202
44,LCOE,Joint,5000,2470.9507375467215,-134.58706419115748,"[511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7012, 7032, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15467, 15487, 15507, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23076, 23096, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",52
43,LCOE,Sequential,5000,2488.2918437526273,-133.64911610442496,"[6, 511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 6992, 7012, 7052, 7072, 7092, 7112, 11149, 11169, 11209, 11229, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15487, 15525, 15545, 15575, 19499, 19519, 19537, 19557, 19577, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",70
43,LCOE,Joint,5000,2488.394072704262,-133.64362549135205,"[5, 511, 531, 548, 1696, 1716, 1736, 1751, 3928, 3948, 3968, 3988, 4008, 4024, 4044, 6937, 6957, 6977, 7012, 7052, 7072, 7092, 7112, 11149, 11169, 11189, 11209, 11244, 11264, 11284, 11304, 11324, 11344, 11364, 15392, 15412, 15432, 15447, 15467, 15507, 15545, 15575, 19499, 19519, 19537, 19557, 19593, 19613, 19633, 19653, 19661, 23021, 23041, 23061, 23076, 23096, 23116, 23136, 25673, 25693, 25713, 25733, 25753, 25766, 27300, 27320, 27880]",202
